FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,OutOfASCII,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum , RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree,NumOfNumType,NumOfEngType,NumOfSpcType, MaxNumOfSpc, MaxNumOfSpcChar 
initializers_test.js,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765,0,4,2,0,0,0,210,186,186,0,8,133,3,137,3,7,7,2,0,0,0,0,0,0,0,48,130,12,50,21,0,11,99,4,23,0,7,12,0,0,19,0,0,0,37,1,15,2,0,17,11,19,0,0,1,0,0,0,18,0,18,0,0,22,389,45,177,137,539,96,8,110,672,2,21,248,60,392,297,261,13,384,310,513,117,8,28,40,53,100,96,0,96,0,0,9853,391,25.2,2,28.10%,,,,0.2,53.7,14.1,100,0%,3,40,21,210,39
bootstrap-datepicker.gl.js,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,96,0,2,0,0,2,3,3,0,0,48,0,3,2,0,1,0,0,0,0,0,0,0,0,9,3,0,1,0,0,0,4,0,0,5,0,2,0,1,0,0,0,4,11,2,2,0,1,0,8,0,0,3,0,9,0,0,6,0,6,0,0,0,21,10,6,9,27,3,4,4,10,1,2,6,11,14,32,3,0,25,12,16,12,4,1,1,9,1,2,0,2,0,5,574,13,44.2,48,8.90%,,,,0.2,51.6,32.8,135,10%,1,37,15,96,34
cnames_active.js,0,0,0,0,0,0,0,0,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7917,3,5077,0,0,0,0,4,401,401,81,0,1263,636,2738,1795,76,74,71,34,51,22,27,19,34,47,1274,1,1,1,0,396,0,25,24,467,24,29,442,26,13,16,30,8,17,23,25,18,427,10,415,69,32,13,6,8,1,4,1,0,0,0,0,12,0,3404,1864,1228,2237,3329,486,1937,2312,5235,564,580,1364,988,3253,4112,757,67,2027,2463,3937,2206,385,679,253,555,190,1,0,1,0,396,72747,1308,55.6,2538.5,10.90%,,,,0.6,66.8,19.4,128,0%,10,52,18,5077,34
why.js,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,0,8,27,3,0,4,217,190,190,3,2,147,35,148,40,24,28,8,0,0,0,0,0,0,1,57,122,26,89,62,6,1,10,11,17,6,23,1,0,24,2,0,2,8,38,2,8,22,0,12,11,27,3,1,21,0,0,0,62,0,62,0,13,6,307,44,267,153,685,142,107,141,310,13,62,215,122,335,414,204,25,497,368,522,178,39,60,37,94,0,82,2,82,0,0,9134,269,34,4,16.70%,,,,0.7,61.2,18.5,120,0%,4,45,27,217,39
kcheck_vx.x.x.js,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,1,0,0,11,0,0,18,0,1,3,12,19,4,5,4,2,1,1,2,2,5,0,8,3,3,0,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,2,2,29,11,33,28,81,15,7,18,28,1,14,36,11,25,33,14,2,26,27,37,23,3,8,4,16,0,3,0,3,0,0,805,32,25.2,0,14.00%,,,,3.2,67.2,11.6,78,0%,9,33,16,19,47
bootstrap-markdown.nb.js,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,2,0,0,64,3,3,5,0,15,1,5,4,0,0,0,0,0,0,0,0,0,0,16,2,1,1,1,0,1,2,3,0,0,0,2,0,3,5,0,1,6,0,1,1,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,17,9,4,13,76,7,12,14,45,1,22,22,9,38,19,6,0,39,31,50,4,8,5,4,3,1,2,0,2,0,2,781,24,32.5,0,17.20%,,,,0,63.1,16.4,67,10%,0,40,17,64,39
parse-reftest.js,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278,2,4,0,12,0,0,36,160,160,3,85,98,52,81,30,56,70,11,9,6,5,4,3,3,2,61,91,0,76,6,57,0,25,4,20,5,30,4,8,4,60,0,0,4,5,12,9,12,0,22,15,23,3,8,5,2,0,4,67,124,67,14,4,0,289,22,111,127,221,15,58,52,93,0,11,42,40,134,78,94,0,177,161,250,14,7,19,34,28,15,15,1,15,0,0,6299,155,40.6,2,36.20%,,,,2.7,37.7,21,153,0%,10,46,25,160,40
tinycon.min.js,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,16,98,3,0,0,30,0,116,115,17,21,142,12,101,15,31,15,8,3,0,3,6,2,0,5,22,21,3,101,4,8,1,6,5,11,2,6,3,1,0,3,0,0,3,5,5,8,5,0,3,4,19,1,0,1,0,0,0,21,4,21,1,0,0,172,87,101,58,185,78,55,53,133,17,21,93,60,149,143,19,6,116,42,164,72,28,14,13,17,3,29,24,29,0,0,3102,6,517,49,1.90%,,,,2.4,64.2,31.4,2948,0%,8,44,26,142,44
widget.js,0,0,0,0,0,0,0,0,0,1554,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,29,116,2,90,0,24,12,332,332,13,36,191,23,374,156,18,9,2,0,0,1,2,1,2,0,92,255,4,232,12,15,1,19,1,63,21,42,9,0,4,14,0,7,12,5,39,41,36,6,7,11,11,3,19,19,0,0,0,83,4,83,1,95,0,732,113,411,381,1697,285,237,371,833,24,84,580,289,955,785,388,8,676,872,1345,432,195,116,65,199,3,166,54,166,0,0,20109,746,27,58,11.50%,,,,0.2,62,14.9,94,0%,7,47,29,374,46
bootstrap-datepicker.en-CA.js,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,98,0,2,0,0,2,3,3,5,0,49,4,4,2,1,0,0,0,0,0,0,0,0,0,10,3,1,1,1,0,1,5,0,3,2,1,5,0,0,0,6,0,0,10,3,2,0,1,0,11,8,0,0,3,0,0,0,6,0,6,0,0,0,39,7,12,20,35,4,4,11,13,1,4,9,12,24,21,7,0,28,15,25,20,2,1,0,24,0,2,0,2,0,0,707,18,39.3,49,8.90%,,,,0.1,56.3,29,134,10%,1,36,20,98,34
