FileName,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space
20150814_4a28a7fe949b6e449bc8d595ca196417.js,12176,0,0,12,17.50985545
20170417_7353fdbf8df5fe2a35327c281d8aa117.js,15230,77,197.7922078,86,14.42547603
20170315_a619b6a40c3be963562cbf54e36b45db.js,34339,980,35.03979592,233,12.16401177
20170309_053a4cc9b14ac1233ee7401b1621a0c8.js,52042,1896,27.44831224,382,11.31009569
20170309_527ea84738202cf415cad1e786c87e0a.js,52660,1924,27.37006237,390,11.23813141
20170309_21da0b1b5d85ae28d30951b11665a793.js,70310,2840,24.75704225,539,10.84625231
20170418_25b22140b6ec655fcf23fa5e83f3c788.js,72077,2877,25.05283281,581,10.62752334
20170116_8a698d85797d59c1965997718b070c25.js,135174,2877,46.98435871,695,13.60172814
20170323_b3018774124112316c42a60f375db228.js,140693,2934,47.9526244,716,13.08949273
20170323_05a3cc924d4c8c0699f8d72342482e51.js,141639,2966,47.75421443,742,13.05219608
20170310_946474cd9cc88ffed5cf2e12d64b523c.js,142246,2994,47.51035404,751,13.01899526
20170403_d6696bc03a2d2db88c8865b0040ebe4a.js,167519,2995,55.93288815,879,11.54078045
20170403_5cc0758c10bcfc404fa32b99af73bcee.js,191983,2996,64.07977303,1015,10.45769678
20170403_6c283ccdc1983912dcee1f61787e03a7.js,197812,3082,64.18299805,1038,10.16874608
20170306_fbb7e6840238ac85698cc001df13289a.js,198655,3120,63.67147436,1064,10.15630113
20170210_9014940ebd231f4efcc6a7a811a634d6.js,223712,4042,55.34685799,1215,10.07992419
20170307_516de46e8268c371b74375013046d3ef.js,253370,4631,54.71172533,1347,9.751351778
20170130_5e933ab92742aef1e221c36aa3e7dd4e.js,284271,4651,61.12040421,2548,9.536674511
20170130_a051ab06ecb03e4e926aef88b0dc70c9.js,347761,4651,74.77123199,2662,10.90145243
20170130_27d82dc4bb8bcaf513c17c3acddba8f5.js,377349,4671,80.78548491,3802,10.65936308
20170130_6ba672855e27d6ef3153a1482f239ac1.js,407781,4691,86.92837348,5013,10.4357486
20170130_887c49ffda46c61371b2388b05629c69.js,438005,4711,92.97495224,6209,10.24166391
20170130_7ab90b1507bc742c3f211f35b214d9f6.js,470893,4731,99.53350243,7501,10.09188924
20170130_f04214d83ada1d982d669a1e593412af.js,502112,4751,105.6855399,8724,9.944195717
20170506_7cba0aaa710f70180bc1101894c68c83.js,515600,5256,98.09741248,8779,9.904577192
20170506_31f70631beadb9272ddd0cd71c2e811b.js,529544,5828,90.8620453,8795,9.654155273
20170506_ecccca5ec2f20a344624f121ede95103.js,552294,6655,82.98933133,8902,9.638163732
20170425_227d9a091d8156e5ebccab7f76e3f79e.js,554759,6721,82.54113971,8960,9.606333561
20170425_b285a3b12d409401935ac3e83139f638.js,563339,6831,82.46801347,9009,9.468721321
20170425_94134889aa96c37b01883564e519d291.js,567355,6930,81.86940837,9075,9.420556794
20170203_671786823d3f486e8e6c55a5371cfe3b.js,620032,6949,89.22607569,11049,8.980504232
20170407_dd1a8a2f582254c152a1e68bbc0c7358.js,621035,6990,88.84620887,11061,8.978559985
20170422_8b227379ae34c5707fa70b2327dab6a7.js,629459,7091,88.76872091,11107,8.865390756
20170422_b74ef16d8774f3d4932f9cfdbedfd6c1.js,633278,7194,88.02863497,11186,8.827086998
20170422_95f0a090cb014a211484ce040fe598b3.js,635721,7254,87.63730356,11238,8.80276096
20170422_f4ad44dfca9551cdc2cbe38a81cf78ea.js,639480,7345,87.06330837,11304,8.766028648
20170422_8a25642b89768e97cac2248d3ece16ae.js,642007,7435,86.34929388,11381,8.741026188
20170216_d6c0f10fe507f03db2ca546c3a42ae2f.js,671883,7838,85.72122991,11590,9.027166932
20170223_bf0d33845db834a400d0e4b9e56ee02a.js,672592,7870,85.46277001,11606,9.024936366
20170223_2f30562531561e4a1e6eeeaddcb73781.js,689490,7870,87.60991105,11606,8.824493466
20170223_ac1df17b5f171585b5deb1758d9781ff.js,736160,8580,85.7995338,12233,8.496114975
20170219_35fe5d87590de2559e39b1bc2ae19f7f.js,760004,9001,84.43550717,12642,8.610744154
20170219_2eb997fab8dc4151b2a936fc513fbc07.js,760658,9001,84.50816576,12654,8.615041188
20170219_ce2f9c1d24dd009d05f0be97c00b28ab.js,782405,9001,86.92423064,12654,8.405365508
20170219_63673c54626ff8b38eeea5e870c17f8f.js,806299,9423,85.567123,13064,8.517559863
