FileName,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum , RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree,NumOfNumType,NumOfEngType,NumOfSpcType, MaxNumOfSpc, MaxNumOfSpcChar 
20170130_a051ab06ecb03e4e926aef88b0dc70c9.js,63490,0,0,114,0.17,,,,25.2,32.3,25.5,63490,1220.961538,10,52,24,2946,59
20170116_8a698d85797d59c1965997718b070c25.js,63097,0,0,114,0.17,,,,25.2,32.4,25.5,63097,1213.403846,10,52,24,2928,59
20170403_d6696bc03a2d2db88c8865b0040ebe4a.js,25273,1,25273,128,0.032,,,,35.9,40.5,20.4,25273,486.0192308,10,52,22,1720,124
20170403_5cc0758c10bcfc404fa32b99af73bcee.js,24464,1,24464,136,0.03,,,,36.1,40.6,20.2,24464,470.4615385,10,52,22,1675,124
20170218_2d2f63d8f4470e88e509c59119635bd9.js,22030,0,0,0,0.011,,,,37.3,32.4,29.2,22030,564.8717949,10,39,28,2668,92
20170219_ce2f9c1d24dd009d05f0be97c00b28ab.js,21747,0,0,0,0.011,,,,36.9,33,29,21747,557.6153846,10,39,28,2627,92
20170307_516de46e8268c371b74375013046d3ef.js,29658,589,50.4,132,0.073,,,,17.3,47.7,24.1,17478,706.1428571,10,42,20,1061,40
20170223_2f30562531561e4a1e6eeeaddcb73781.js,16898,0,0,0,0.008,,,,35.4,34.5,29.2,16898,433.2820513,10,39,28,1622,92
20170303_7b7ca63d72bfadf876a1800ae472f8f3.js,25371,450,56.4,242,0.075,,,,10.7,54,24.8,16661,604.0714286,10,42,20,1092,40
20170202_fd62ce23cc6f4d5aa5f37369d7be95af.js,62356,19,3281.9,3225,0.056,,,,15.3,60,19.1,11634,1417.181818,10,44,18,6450,34
20170203_671786823d3f486e8e6c55a5371cfe3b.js,52677,19,2772.5,1974,0.042,,,,10.9,69.3,15.5,10397,1197.204545,10,44,18,3948,34
20170123_b87c514cb034febca18dc05387424d9d.js,42031,20,2101.6,4149,0.103,,,,1.2,54.9,33.5,10038,955.25,10,44,15,8298,34
20170124_0ec4b612cc379bb036cc05d4ca24fc3b.js,39065,19,2056.1,3867,0.103,,,,1.2,54.7,33.6,9965,887.8409091,10,44,15,7734,34
20170123_db7e7a9524bdabece0cfdda191406c5e.js,41734,20,2086.7,4137,0.103,,,,1.2,54.7,33.6,9810,948.5,10,44,15,8274,0
20170124_28336d222b08df1a4a116b1f60570363.js,40038,19,2107.3,3957,0.103,,,,1.2,54.8,33.6,9629,909.9545455,10,44,15,7914,34
20170123_c3f8fef5d113c84093036b7c4ab4c768.js,42238,20,2111.9,4175,0.103,,,,1.3,54.8,33.6,9584,959.9545455,10,44,15,8350,34
20170124_ad1886a2e35c588720985565c4339eae.js,40187,19,2115.1,3968,0.103,,,,1.2,54.8,33.5,9574,913.3409091,10,44,15,7936,34
20170123_66f12e87224c30b0eaa47bb21bb2f0e2.js,42178,20,2108.9,4155,0.103,,,,1.2,54.9,33.4,9561,958.5909091,10,44,15,8310,34
20170123_86568a682abc06bc6da3d7e6075ade66.js,39862,20,1993.1,3942,0.103,,,,1.2,54.8,33.6,9270,905.9545455,10,44,15,7884,34
20170126_5505cc98fd92a1d907cacda0209046c2.js,27240,19,1433.7,2451,0.097,,,,1.7,55.2,33.3,8299,605.3333333,10,45,17,4902,34
20170504_5504352d8fd4cfaeaeb788cbecf4ac2b.js,7868,0,0,4,0.001,,,,59.5,18.6,21.8,7868,171.0434783,10,46,14,1596,92
20170504_dcaac8421d5e1e2d47883d3cd73920b6.js,7585,0,0,4,0,,,,59.1,18.7,22.2,7585,154.7959184,10,49,13,1551,92
20170504_2d857bd5aad2490e289916e54539eae6.js,7567,0,0,4,0.001,,,,59.2,18.5,22.2,7567,168.1555556,10,45,14,1546,92
20170313_0cfcad8dd858daef2558235fa4eeda16.js,14030,277,50.6,101,0.07,,,,1.7,71.8,14.9,7489,334.047619,10,42,21,364,44
20170504_ef06c4204f609e446665c7dad0db15cf.js,7474,0,0,4,0,,,,59.9,17.9,22.2,7474,155.7083333,10,48,13,1531,92
20170504_82e34d73786a564f6deb5c1b8e1627f1.js,7271,0,0,4.5,0.001,,,,60.2,17.8,22,7271,165.25,10,44,13,1450,92
20170124_ef5a52102363101235082912e277d31d.js,37516,19,1974.5,3701,0.103,,,,1.2,54.9,33.4,6911,852.6363636,10,44,15,7402,34
20170123_4aad32dfd7247be7d04717e90dc5d2c5.js,39021,20,1951,3863,0.103,,,,1.3,54.7,33.6,6573,886.8409091,10,44,15,7726,34
20170130_7ab90b1507bc742c3f211f35b214d9f6.js,32888,20,1644.4,1292,0.081,,,,11.4,59.9,20.5,5854,747.4545455,10,44,17,2584,34
20170206_07542265c4814fc1988ce537ba2c9255.js,47931,1098,43.7,1448,0.1,,,,8.3,50.5,21.6,5836,1141.214286,10,42,21,2896,34
20170130_887c49ffda46c61371b2388b05629c69.js,30224,20,1511.2,1196,0.076,,,,11.5,60.9,19.9,5702,686.9090909,10,44,17,2392,34
20170130_6ba672855e27d6ef3153a1482f239ac1.js,30432,20,1521.6,1211,0.077,,,,11.6,60.7,20,5686,691.6363636,10,44,17,2422,34
20170130_5e933ab92742aef1e221c36aa3e7dd4e.js,30901,20,1545,1201,0.078,,,,11.3,60.9,20,5552,702.2954545,10,44,17,2402,34
20170130_27d82dc4bb8bcaf513c17c3acddba8f5.js,29588,20,1479.4,1140,0.078,,,,11.2,60.9,20,5534,672.4545455,10,44,17,2280,34
20170127_ac02f835cc57f3f58c788eb66d607275.js,24096,19,1268.2,2179,0.098,,,,1.7,54.9,33.5,5517,535.4666667,10,45,17,4358,34
20170130_f04214d83ada1d982d669a1e593412af.js,31219,20,1561,1223,0.077,,,,11.4,60.9,19.9,5511,709.5227273,10,44,17,2446,34
20170219_35fe5d87590de2559e39b1bc2ae19f7f.js,23844,421,56.6,409,0.121,,,,5.2,52.4,28.5,4641,627.4736842,10,38,20,833,91
20170219_63673c54626ff8b38eeea5e870c17f8f.js,23894,422,56.6,410,0.122,,,,5.2,52.2,28.6,4616,628.7894737,10,38,20,842,40
20170125_eaee3654cf887dfa312b6cb68e1ca7f8.js,48385,586,82.6,185,0.068,,,,0.8,72.9,17.8,4594,1099.659091,9,44,18,2069,47
20170218_aa4d7b4cf6a2660a6b80d3d25315cfe0.js,23324,413,56.5,401,0.122,,,,5.2,52.3,28.6,4525,613.7894737,10,38,20,817,91
20170220_655ba3504381d12a154fe675fcea8a32.js,23479,415,56.6,403,0.122,,,,5.2,52.1,28.7,4517,617.8684211,10,38,20,830,40
20170124_40daec79ab23a81e8599a44067dec307.js,54261,547,99.2,172,0.075,,,,0.7,70.9,19.5,4384,1233.204545,10,44,17,2941,47
20170124_a0b2eeedbc9c6187927e32645700d1d2.js,55584,562,98.9,177,0.076,,,,0.7,70.7,19.6,4273,1263.272727,10,44,17,3047,47
20170227_a2d5c059dcbb09d5d9cbd886c8fe7b51.js,55717,1099,50.7,441,0.043,,,,1.7,76,15.3,4200,1266.295455,9,44,19,1640,40
20170126_d72a6de9c72457b606f08f248c9950d1.js,49927,559,89.3,176,0.038,,,,0.8,81.5,12.5,4069,1134.704545,7,44,18,1968,39
20170126_a117a29fcce5329bd87149e8ff8d8e82.js,52778,586,90.1,185,0.037,,,,0.8,81.5,12.5,4035,1199.5,6,44,18,2070,39
20170126_ef30c8100245f175810c698a9832683d.js,48622,535,90.9,168,0.037,,,,0.8,81.6,12.4,4033,1105.045455,7,44,18,1876,39
20170223_ac1df17b5f171585b5deb1758d9781ff.js,46670,710,65.7,627,0.036,,,,1.2,77,15.9,3514,1060.681818,10,44,18,2282,40
20170119_2885f6c7e92a4a96771dad47831d8602.js,42147,202,208.6,173,0.025,,,,1.3,91,4.7,3313,957.8863636,10,44,18,367,91
20170214_4a3538f87826db48fe9f55f7f6c82a51.js,48738,409,119.2,403,0.129,,,,1,67.8,17.4,3301,1282.578947,10,38,19,4272,44
20170119_8496099966c12d7ae43a8d9d4de7efc1.js,40861,197,207.4,168,0.025,,,,1.3,90.8,4.8,3266,928.6590909,10,44,18,357,91
20170214_a5192cd030adbe0221bf3e709a50db75.js,48551,409,118.7,403,0.13,,,,1,67.7,17.5,3224,1277.657895,10,38,19,4270,44
20170125_549a4991958bc453a5793028558e6a28.js,44820,544,82.4,171,0.067,,,,0.9,73,17.7,3099,1018.636364,8,44,18,1899,47
20170125_41de50a7449d34cf6ccc3bd1d4467095.js,44645,544,82.1,171,0.067,,,,0.8,73.2,17.7,3091,1014.659091,7,44,18,1871,47
20170126_7ad814d6857dbb2cde5879caa2ab7d34.js,48619,535,90.9,168,0.037,,,,0.8,81.5,12.5,3056,1104.977273,9,44,18,1908,39
20170125_bf7a18bac304db6cb44442a7422b6b3e.js,40128,484,82.9,151,0.067,,,,0.8,73,17.8,3011,912,8,44,18,1713,47
20170125_5b169abf528260f9b818d4d64228e417.js,41735,517,80.7,162,0.067,,,,0.9,72.9,17.8,2978,948.5227273,8,44,18,1765,47
20170118_197838f7e8c96c91ac764b554e2d9d06.js,18630,31,601,1,0.125,,,,7.4,34.4,45.6,2934,358.2692308,10,52,23,3604,39
